"vessel_class_gfw","flag_gfw","Summed_Fishing_Hours","bpfh","mpfh","tmpfh","tmpfh.low","tmpfh.high","tot_b","tot_m","tot_tm","tot_tm_low","tot_tm_high"
"gillnet","AFG",36.96,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.00599949504,0.002029104,0.001223376,0.000953568,0.001493184
"gillnet","AGO",437.77,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.07106057748,0.024033573,0.014490187,0.011294466,0.017685908
"gillnet","ALB",1539.81,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.24994811844,0.084535569,0.050967711,0.039727098,0.062208324
"gillnet","ATF",75.07,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.01218566268,0.004121343,0.002484817,0.001936806,0.003032828
"gillnet","AUS",1849.47,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.30021336828,0.101535903,0.061217457,0.047716326,0.074718588
"gillnet","AZE",265.46,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.04309052904,0.014573754,0.008786726,0.006848868,0.010724584
"gillnet","BEN",608.3,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.0987416892,0.03339567,0.02013473,0.01569414,0.02457532
"gillnet","BLR",250.87,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.04072222188,0.013772763,0.008303797,0.006472446,0.010135148
"gillnet","BLZ",770.77,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.12511446948,0.042315273,0.025512487,0.019885866,0.031139108
"gillnet","BRA",481.59,0.00023268,0,3.37e-05,2.33e-05,4.42e-05,0.1120563612,0,0.016229583,0.011221047,0.021286278
"gillnet","BTN",3485.65,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.5658046506,0.191362185,0.115375015,0.08992977,0.14082026
"gillnet","CHN",606976.48,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,98.52685013952,33.323008752,20.090921488,15.659993184,24.521849792
"gillnet","CMR",356.39,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.05785065036,0.019565811,0.011796509,0.009194862,0.014398156
"gillnet","CXR",194.1,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.0315070884,0.01065609,0.00642471,0.00500778,0.00784164
"gillnet","CYP",151.37,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.02457098388,0.008310213,0.005010347,0.003905346,0.006115348
"gillnet","DEU",1616.52,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.26239999248,0.088746948,0.053506812,0.041706216,0.065307408
"gillnet","DJI",731.8,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.1187887032,0.04017582,0.02422258,0.01888044,0.02956472
"gillnet","FIN",1096.52,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.17799151248,0.060198948,0.036294812,0.028290216,0.044299408
"gillnet","FJI",124.73,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.02024667252,0.006847677,0.004128563,0.003218034,0.005039092
"gillnet","FRO",573.55,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.0931009302,0.031487895,0.018984505,0.01479759,0.02317142
"gillnet","GEO",576.93,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.09364958532,0.031673457,0.019096383,0.014884794,0.023307972
"gillnet","GTM",430.2,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.0698317848,0.02361798,0.01423962,0.01109916,0.01738008
"gillnet","HUN",25.75,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.004179843,0.001413675,0.000852325,0.00066435,0.0010403
"gillnet","IDN",1560.66,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.25333257384,0.085680234,0.051657846,0.040265028,0.063050664
"gillnet","IND",60.22,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.00977515128,0.003306078,0.001993282,0.001553676,0.002432888
"gillnet","IRN",98.84,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.01604410416,0.005426316,0.003271604,0.002550072,0.003993136
"gillnet","IRQ",192.05,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.0311743242,0.010543545,0.006356855,0.00495489,0.00775882
"gillnet","KOR",203485.91,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,33.03064685484,11.171376459,6.735383621,5.249936478,8.220830764
"gillnet","LKA",636.44,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.10330948656,0.034940556,0.021066164,0.016420152,0.025712176
"gillnet","MCO",408.3,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.0662768892,0.02241567,0.01351473,0.01053414,0.01649532
"gillnet","MDA",30.28,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.00491517072,0.001662372,0.001002268,0.000781224,0.001223312
"gillnet","MOZ",88.88,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.01442735712,0.004879512,0.002941928,0.002293104,0.003590752
"gillnet","MWI",1147.27,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.18622945548,0.062985123,0.037974637,0.029599566,0.046349708
"gillnet","NGA",42.98,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.00697668552,0.002359602,0.001422638,0.001108884,0.001736392
"gillnet","PCN",650.86,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.10565019864,0.035732214,0.021543466,0.016792188,0.026294744
"gillnet","PER",334.5,1.58e-05,0.000137998,1.38e-05,1.31e-05,1.45e-05,0.0052851,0.046160331,0.0046161,0.00438195,0.00485025
"gillnet","RWA",81.68,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.01325862432,0.004484232,0.002703608,0.002107344,0.003299872
"gillnet","SGP",1152.02,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.18700049448,0.063245898,0.038131862,0.029722116,0.046541608
"gillnet","SHN",52.04,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.00844734096,0.002856996,0.001722524,0.001342632,0.002102416
"gillnet","SLB",53.14,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.00862589736,0.002917386,0.001758934,0.001371012,0.002146856
"gillnet","STP",201.13,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.03264822612,0.011042037,0.006657403,0.005189154,0.008125652
"gillnet","THA",657.97,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.10680432228,0.036122553,0.021778807,0.016975626,0.026581988
"gillnet","TUV",125.1,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.0203067324,0.00686799,0.00414081,0.00322758,0.00505404
"gillnet","TWN",9022.42,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,1.46455530408,0.495330858,0.298642102,0.232778436,0.364505768
"gillnet","TZA",875.98,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.14219257752,0.048091302,0.028994938,0.022600284,0.035389592
"gillnet","USA",2241.44,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.36383950656,0.123055056,0.074191664,0.057829152,0.090554176
"gillnet","YEM",327.55,0.000162324,5.49e-05,3.31e-05,2.58e-05,4.04e-05,0.0531692262,0.017982495,0.010841905,0.00845079,0.01323302
"longline","ALB",10318.12,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,35.62895331164,8.69737034664,10.5156088168,9.207374382,12.05849793664
"longline","ATG",28.22,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,0.09744498634,0.02378725884,0.0287601308,0.025182117,0.03297992384
"longline","AUS",30333.6,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,104.7433464792,25.5688587792,30.914185104,27.06818796,35.4500289792
"longline","AZE",299.91,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,1.03560332577,0.25280073702,0.3056502774,0.2676246885,0.35049641952
"longline","BFA",153.93,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,0.53152752471,0.12975098346,0.1568762202,0.1373594355,0.17989368096
